"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","rms","event_id","earthquake_name","event_type","evaluationStatus","creationInfo_author","creation_time","quality_usedPhaseCount","picks_mean"
1678436716.0000,0.8038,0.4950,-77.9303,0.4950,-1.7900,0.3000,2.3301,0.1700,igepn2023eumz,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 03:25:16,17.0000,6.0000
1678436680.0000,0.8002,0.0707,-77.9292,0.0707,-0.9800,0.2000,1.9087,0.0100,igepn2023eumy,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 03:24:40,9.0000,6.0000
1678436506.0000,0.7952,0.4243,-77.9273,0.4243,-1.6600,0.4000,1.9624,0.1200,igepn2023eumw,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 03:21:46,19.0000,7.0000
1678436238.0000,0.7888,0.7071,-77.9367,0.7071,-3.0000,0.8000,2.0348,0.2000,igepn2023eums,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 03:17:18,15.0000,7.0000
1678436117.0000,0.7917,0.5657,-77.9317,0.5657,-1.6800,0.4000,1.4954,0.1500,igepn2023eumr,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 03:15:17,16.0000,6.0000
1678435591.0000,0.7833,0.4243,-77.9458,0.4243,-1.8400,0.8000,2.0069,0.1100,igepn2023eumj,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 03:06:31,18.0000,7.0000
1678435498.0000,0.7852,0.6364,-77.9355,0.6364,-2.0000,0.7000,2.1327,0.2000,igepn2023eumh,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 03:04:58,17.0000,6.0000
1678435278.0000,0.8040,0.9192,-77.9310,0.9192,-0.5000,0.9000,2.5824,0.6100,igepn2023eumd,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 03:01:18,45.0000,18.0000
1678435116.0000,0.7762,0.3536,-77.9373,0.3536,-2.0000,0.4000,2.3531,0.1500,igepn2023eumc,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:58:36,19.0000,7.0000
1678434918.0000,0.7838,0.4950,-77.9405,0.4950,-1.6400,0.5000,2.7748,0.2000,igepn2023euma,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:55:18,19.0000,6.0000
1678434886.0000,0.7680,0.6364,-77.9347,0.6364,-2.7700,0.7000,2.5247,0.1500,igepn2023eulz,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:54:46,17.0000,7.0000
1678434789.0000,0.7775,0.3536,-77.9418,0.3536,-3.0000,0.7000,1.8728,0.2000,igepn2023eulx,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:53:09,19.0000,6.0000
